,분류,충전소,주소,이용가능시간,타입,충전기용량,lon,lat,요금
660,충전소,제주산학융합원,제주특별자치도 제주시 첨단로8길 36,09:00~18:00,DC콤보,정보없음,126.5709354,33.4486108,"회원: 324.4~347.2원
비회원: 430원"
661,충전소,제주소년원,제주특별자치도 제주시 애월읍 장소로 515(산194-5 한길정보통신학교),24시간 이용가능,DC콤보,50kW,126.3857097,33.4100337,"회원: 324.4~347.2원
비회원: 430원"
662,충전소,제주수산연구소,제주특별자치도 제주시 연대마을길 6(외도이동),24시간 이용가능,DC차데모+AC3상+DC콤보,정보없음,126.4290032,33.4938538,"회원: 324.4~347.2원
비회원: 430원"
663,충전소,제주시민속오일시장 3주차장,제주특별자치도 제주시 오일장동길 51(도두일동 1212),24시간 이용가능,DC콤보,100kW,126.4778768,33.4956469,"회원: 324.4~347.2원
비회원: 430원"
664,충전소,제주아트센터,제주특별자치도 제주시 오남로 231(898-8 제주아트센터),09:00~18:00,DC콤보,100kW,126.5155061,33.4751552,"회원: 324.4~347.2원
비회원: 430원"
665,충전소,제주의료원,제주특별자치도 제주시 아라1동 4-17,주중/주말 : 24시간,DC차데모+AC3상+DC콤보,정보없음,126.5601453,33.4452709,"회원: 324.4~347.2원
비회원: 430원"
666,충전소,제주전력지사,제주특별자치도 제주시 가령로 68,주중/주말 : 06시~23시,DC차데모+AC3상+DC콤보,정보없음,126.536771,33.498292,"회원: 324.4~347.2원
비회원: 430원"
667,충전소,제주직할,제주특별자치도 제주시 문연로 36,주중/주말 : 06시~23시,DC차데모+AC3상+DC콤보,정보없음,126.5013451,33.4890305,"회원: 324.4~347.2원
비회원: 430원"
668,충전소,제주탐라교육원,제주특별자치도 제주시 오라2동 산 100,24시간 이용가능,DC차데모+AC3상+DC콤보,정보없음,126.5328278,33.4268091,"회원: 324.4~347.2원
비회원: 430원"
669,충전소,제주특별자치도 복지이음마루,제주특별자치도 제주시 연미2길 5(오라삼동 2747-1),09:00~18:00,DC콤보,50kW,126.5027688,33.4926476,"회원: 324.4~347.2원
비회원: 430원"
670,충전소,제주해녀박물관,제주특별자치도 제주시 구좌읍 해녀박물관길 26(3204-1 해녀박물관),24시간 이용가능,DC콤보,100kW,126.8628483,33.5230497,"회원: 324.4~347.2원
비회원: 430원"
671,충전소,제주해안경비안전서,제주특별자치도 제주시 건입동 908,24시간 이용가능,DC차데모+AC3상+DC콤보,정보없음,126.5403164,33.519783,"회원: 324.4~347.2원
비회원: 430원"
672,충전소,조천119센터,제주특별자치도 제주시 조천읍 신북로 337,주중/주말 : 24시간,DC차데모+AC3상+DC콤보,정보없음,126.6469034,33.5410941,"회원: 324.4~347.2원
비회원: 430원"
673,충전소,종달리 종합복지회관,제주특별자치도 제주시 구좌읍 종달동길 3종합복지회관(종달리 1113-55),24시간 이용가능,DC콤보,정보없음,126.9031385,33.4912789,"회원: 324.4~347.2원
비회원: 430원"
674,충전소,종합경기장,제주특별자치도 제주시 오라1동 1163-4,주중/주말 : 24시간,DC차데모+AC3상+DC콤보,정보없음,126.515547,33.4974778,"회원: 324.4~347.2원
비회원: 430원"
675,충전소,천지공영주차장,제주특별자치도 서귀포시 서문로 16(서귀동 305-1),24시간 이용가능,DC콤보,정보없음,126.5594295,33.2515976,"회원: 324.4~347.2원
비회원: 430원"
676,충전소,청소년 문화의 집,제주특별자치도 서귀포시 화순로 56번길 20,주중/주말 : 24시간,DC차데모+AC3상+DC콤보,정보없음,126.3371369,33.2495585,"회원: 324.4~347.2원
비회원: 430원"
677,충전소,테크노파크 용암해수센터,제주특별자치도 제주시 구좌읍 일주동로 2708-19(한동리 4849-9),24시간 이용가능,DC콤보,50kW,126.814521,33.5279945,"회원: 324.4~347.2원
비회원: 430원"
678,충전소,토이파크,제주특별자치도 서귀포시 안덕면 동광리 383,24시간 이용가능,DC차데모+AC3상+DC콤보,정보없음,126.3457347,33.3190856,"회원: 324.4~347.2원
비회원: 430원"
679,충전소,표선 해양경비단,제주특별자치도 서귀포시 표선면 하천리 1493-4,24시간 이용가능,DC차데모+AC3상+DC콤보,정보없음,126.8230904,33.3568228,"회원: 324.4~347.2원
비회원: 430원"
680,충전소,표선공영주차장,제주특별자치도 서귀포시 표선면 표선중앙로 74-1(표선리 701),24시간 이용가능,DC콤보,100kW,126.8321113,33.3262254,"회원: 324.4~347.2원
비회원: 430원"
681,충전소,한경119센터,제주특별자치도 제주시 일주서로 4218,주중/주말 : 24시간,DC차데모+AC3상+DC콤보,정보없음,126.1829494,33.3426894,"회원: 324.4~347.2원
비회원: 430원"
682,충전소,한경농협 하나로마트,제주특별자치도 제주시 한경면 신한로 76,09:00~18:00,DC차데모+AC3상+DC콤보,정보없음,126.1902065,33.3465629,"회원: 324.4~347.2원
비회원: 430원"
683,충전소,한라산렌트카,제주특별자치도 제주시 오일장중길 19(도두일동 2203-1),"주중 08:00~19:00, 주말 09:00~18:00",DC콤보,정보없음,126.4702914,33.495575,"회원: 324.4~347.2원
비회원: 430원"
684,충전소,한수풀도서관,제주특별자치도 제주시 한림읍 한림상로 240-11(1877 한수풀도서관),24시간 이용가능,DC콤보,정보없음,126.2685858,33.4202966,"회원: 324.4~347.2원
비회원: 430원"
685,충전소,해양경비안전센터 고산출장소,제주특별자치도 제주시 한경면 노을해안로 1145,주중/주말 : 24시간,DC차데모+AC3상+DC콤보,정보없음,126.164197,33.3081601,"회원: 324.4~347.2원
비회원: 430원"
686,충전소,행복날개 주유소,제주특별자치도 제주시 용문로 12,주중/주말 : 24시간,DC차데모+AC3상+DC콤보,정보없음,126.4976141,33.5050106,"회원: 324.4~347.2원
비회원: 430원"
687,충전소,화북2동 공영주차장,제주특별자치도 제주시 화북2동 3378-6,24시간 이용가능,DC차데모+AC3상+DC콤보,정보없음,126.5610722,33.508529,"회원: 324.4~347.2원
비회원: 430원"
688,충전소,화순리 종합복지관,제주특별자치도 서귀포시 화순서서로 106,주중/주말 : 24시간,DC차데모+AC3상+DC콤보,정보없음,126.3173932,33.2722795,"회원: 324.4~347.2원
비회원: 430원"
689,충전소,(주)샵원더,제주특별자치도 제주시 연북로 161,24시간 이용가능,AC완속,정보없음,126.4987553,33.4821031,"회원: 324.4~347.2원
비회원: 430원"
690,충전소,(주)엠버서더호텔,제주특별자치도 제주시 삼무로 12,24시간 이용가능,AC완속,정보없음,126.4878639,33.489725,"회원: 324.4~347.2원
비회원: 430원"
691,충전소,1950하우스,제주특별자치도 제주시 애월읍 평화로 2369외부주차장,24시간 이용가능,AC완속,정보없음,126.4093838,33.424906,"회원: 324.4~347.2원
비회원: 430원"
692,충전소,GS25 너울빌리지점,제주특별자치도 제주시 한경면 일주서로4469(한경면 금등리646),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.1934393,33.3628573,"회원: 324.4~347.2원
비회원: 430원"
